HIGH_RISK_score,MONITORING_score,LOW_RISK_score,risk_level
0.9503492418911347,0.023306896854736754,0.0263438612541287,HIGH_RISK
0.5503977393068135,0.43493865894074213,0.014663601752444553,HIGH_RISK
0.492559314415777,0.45460361572709623,0.05283706985712685,MONITORING
0.23566894616417378,0.5800715844799895,0.18425946935583665,MONITORING
0.0636403187066805,0.923700012363856,0.012659668929463493,MONITORING
0.11949747543434877,0.7775393495374718,0.10296317502817935,MONITORING
0.08309893356529087,0.5836310048246418,0.3332700616100673,MONITORING
0.6431243701032491,0.32626735715347577,0.0306082727432752,MONITORING
0.9241104602628517,0.07232487792648556,0.0035646618106626345,HIGH_RISK
0.0647683498454169,0.9001001457857982,0.03513150436878484,MONITORING
0.17671162039880042,0.7866672981741021,0.036621081427097454,MONITORING
0.7579139748429384,0.15250034044705507,0.08958568471000664,HIGH_RISK
0.9454441922966239,0.05039636703970523,0.00415944066367092,HIGH_RISK
0.7844000272240789,0.03564149504717349,0.17995847772874768,HIGH_RISK
0.1510570730514554,0.7984138077849054,0.05052911916363915,MONITORING
0.15105773993020338,0.7984118316977536,0.050530428372043024,MONITORING
0.06364017037726424,0.923700295166578,0.012659534456157645,MONITORING
0.1282308985728479,0.40775935492459037,0.46400974650256166,LOW_RISK
0.2242857366759881,0.5856131715050888,0.19010109181892312,MONITORING
0.7601489939567958,0.23056233842638,0.009288667616824115,HIGH_RISK
0.9544630943661743,0.04364171576592895,0.0018951898678968343,HIGH_RISK
0.3781250410290395,0.5802769863144852,0.04159797265647524,MONITORING
0.06364035437658407,0.9236999461475577,0.012659699475858181,MONITORING
0.11524476514737246,0.4956276533939335,0.38912758145869414,MONITORING
0.8025547968260945,0.1289646275778447,0.0684805755960608,HIGH_RISK
0.7917277801226215,0.2008236100060598,0.007448609871318839,HIGH_RISK
0.6198725140778637,0.35190153709977673,0.02822594882235957,MONITORING
0.8742460794858684,0.1228108078641331,0.0029431126499984486,HIGH_RISK
0.8951539625915208,0.07195899576917754,0.03288704163930165,HIGH_RISK
0.13253692690598096,0.8242017203959404,0.043261352698078584,HIGH_RISK
0.06929197275105838,0.20460264794989824,0.7261053792990434,LOW_RISK
0.12843868795780908,0.3255470691276698,0.5460142429145212,LOW_RISK
